stock,expiry,stk_price,em,%,twt
gdx,2024-05-10T00:00:00,35.49,0.63,0.016863905325443785,$GDX ±0.63 (1.69%)
gme,2024-05-10T00:00:00,17.91,2.0,0.10608598548297041,$GME ±2.00 (10.61%) 🔥
amzn,2024-05-10T00:00:00,187.18,2.89,0.014667699540549202,$AMZN ±2.89 (1.47%)
spy,2024-05-10T00:00:00,520.67,1.8900000000000001,0.003448441431232835,$SPY ±1.89 (0.34%)
xlf,2024-05-10T00:00:00,41.83,0.54,0.012263925412383457,$XLF ±0.54 (1.23%)
aapl,2024-05-10T00:00:00,182.45,2.94,0.0153083036448342,$AAPL ±2.94 (1.53%)
pfe,2024-05-10T00:00:00,28.03,0.63,0.021352122725651086,$PFE ±0.63 (2.14%)
aal,2024-05-10T00:00:00,14.41,0.5599999999999999,0.03691880638445523,$AAL ±0.56 (3.69%)
igv,2024-05-17T00:00:00,81.57,2.35,0.027369130807895062,$IGV ±2.35 (2.74%)
uber,2024-05-10T00:00:00,66.95,1.3,0.01844660194174757,$UBER ±1.30 (1.84%)
xli,2024-05-10T00:00:00,125.74,0.71,0.005364243677429617,$XLI ±0.71 (0.54%)
uup,2024-05-17T00:00:00,28.75,1.14,0.0376695652173913,$UUP ±1.14 (3.77%)
pep,2024-05-10T00:00:00,179.9,2.86,0.015102834908282377,$PEP ±2.86 (1.51%)
goog,2024-05-10T00:00:00,169.4,2.7800000000000002,0.015590318772136954,$GOOG ±2.78 (1.56%)
mmm,2024-05-10T00:00:00,99.31,1.23,0.01176618668814822,$MMM ±1.23 (1.18%)
ntr,2024-05-10T00:00:00,58.54,1.2,0.019473864024598563,$NTR ±1.20 (1.95%)
dkng,2024-05-10T00:00:00,43.42,0.63,0.013783970520497464,$DKNG ±0.63 (1.38%)
mdb,2024-05-10T00:00:00,355.36,6.27,0.01676187528140477,$MDB ±6.27 (1.68%)
uwmc,2024-05-10T00:00:00,7.12,0.6000000000000001,0.0800561797752809,$UWMC ±0.60 (8.01%) 🔥
xlu,2024-05-10T00:00:00,71.4,0.48,0.006386554621848738,$XLU ±0.48 (0.64%)
ups,2024-05-10T00:00:00,147.63,1.2999999999999998,0.008365508365508366,$UPS ±1.30 (0.84%)
pltr,2024-05-10T00:00:00,20.74,0.56,0.02565091610414658,$PLTR ±0.56 (2.57%)
sq,2024-05-10T00:00:00,71.06,1.4700000000000002,0.0196524064171123,$SQ ±1.47 (1.97%)
vxx,2024-05-10T00:00:00,12.12,0.61,0.04781353135313532,$VXX ±0.61 (4.78%)
wmt,2024-05-10T00:00:00,60.33,1.12,0.017636333499088348,$WMT ±1.12 (1.76%)
cvx,2024-05-10T00:00:00,165.16,2.77,0.01593303463308307,$CVX ±2.77 (1.59%)
fcel,2024-05-10T00:00:00,0.7,0.53,0.7192857142857143,$FCEL ±0.53 (71.93%) 🔥
vale,2024-05-10T00:00:00,12.47,0.5700000000000001,0.04342421812349639,$VALE ±0.57 (4.34%)
mo,2024-05-10T00:00:00,44.83,0.61,0.012926611643988402,$MO ±0.61 (1.29%)
intc,2024-05-10T00:00:00,30.18,0.56,0.017627567925778662,$INTC ±0.56 (1.76%)
smh,2024-05-10T00:00:00,223.48,3.1100000000000003,0.013220422409164134,$SMH ±3.11 (1.32%)
mu,2024-05-10T00:00:00,120.03,1.6099999999999999,0.012742647671415478,$MU ±1.61 (1.27%)
