stock,total_oi,call_oi_pct_chng,put_oi_pct_chng,call_oi_pct,put_oi_pct
gdx,3047986,-0.0076,0.0076,0.5321,0.4679
gme,778098,0.0071,-0.0071,0.756,0.244
amzn,4890762,-0.0069,0.0069,0.5179,0.4821
spy,20394934,-0.0113,0.0113,0.2976,0.7024
xlf,5624771,-0.0074,0.0074,0.3748,0.6252
aapl,6171736,-0.0102,0.0102,0.5824,0.4176
pfe,3205544,0.0072,-0.0072,0.4769,0.5231
aal,3193279,-0.0066,0.0066,0.2074,0.7926
igv,78668,0.007,-0.007,0.352,0.648
uber,1084084,-0.0176,0.0176,0.4954,0.5046
xli,624648,-0.0137,0.0137,0.4441,0.5559
uup,62477,-0.0073,0.0073,0.4879,0.5121
pep,243321,0.0108,-0.0108,0.5602,0.4398
goog,1836328,-0.0059,0.0059,0.5658,0.4342
mmm,128362,-0.0058,0.0058,0.6443,0.3557
ntr,146240,0.007,-0.007,0.3572,0.6428
dkng,793200,0.0059,-0.0059,0.5869,0.4131
mdb,124924,0.0073,-0.0073,0.3586,0.6414
uwmc,85666,-0.0164,0.0164,0.6529,0.3471
xlu,851564,-0.0056,0.0056,0.327,0.673
ups,329076,-0.0062,0.0062,0.5316,0.4684
pltr,3296912,0.0103,-0.0103,0.6011,0.3989
sq,826517,-0.0052,0.0052,0.5695,0.4305
vxx,440114,0.0067,-0.0067,0.5134,0.4866
wmt,1370775,-0.011,0.011,0.5285,0.4715
cvx,614632,0.0051,-0.0051,0.5208,0.4792
fcel,120683,0.0066,-0.0066,0.8556,0.1444
vale,1838935,0.091,-0.091,0.5772,0.4228
mo,465117,-0.0144,0.0144,0.5418,0.4582
intc,3249522,0.0148,-0.0148,0.6193,0.3807
smh,926003,0.014,-0.014,0.4415,0.5585
mu,1155582,-0.0066,0.0066,0.539,0.461
hd,226813,-0.0092,0.0092,0.4884,0.5116
shy,19914,-0.0159,0.0159,0.8556,0.1444
rrc,63858,-0.0081,0.0081,0.5529,0.4471
enph,299326,-0.0075,0.0075,0.5132,0.4868
fdn,2016,-0.0099,0.0099,0.5749,0.4251
lc,23015,0.0068,-0.0068,0.8278,0.1722
jks,20727,0.0211,-0.0211,0.6327,0.3673
vuzi,22786,0.006,-0.006,0.8776,0.1224
bkkt,57554,-0.0087,0.0087,0.941,0.059
bno,13954,0.0835,-0.0835,0.9187,0.0813
lmt,102421,-0.0055,0.0055,0.6006,0.3994
wfc,1467082,-0.0178,0.0178,0.4774,0.5226
crwd,277013,-0.0067,0.0067,0.4841,0.5159
mrk,408380,-0.0092,0.0092,0.5715,0.4285
baba,2377475,-0.0065,0.0065,0.6821,0.3179
slv,4611836,-0.0212,0.0212,0.7411,0.2589
qcom,955504,0.0076,-0.0076,0.3884,0.6116
tsla,8341456,0.0052,-0.0052,0.5232,0.4768
sol,5728,0.0283,-0.0283,0.8677,0.1323
ardx,121099,0.005,-0.005,0.667,0.333
mos,184381,-0.0078,0.0078,0.4456,0.5544
qs,293064,-0.0109,0.0109,0.7119,0.2881
msft,2424163,-0.0051,0.0051,0.5184,0.4816
tgt,353792,-0.0068,0.0068,0.4814,0.5186
meta,2593142,-0.0061,0.0061,0.5818,0.4182
abbv,359284,0.0073,-0.0073,0.5543,0.4457
moo,1100,0.0085,-0.0085,0.7364,0.2636
rkt,136861,0.006,-0.006,0.7365,0.2635
rblx,630301,0.0221,-0.0221,0.6351,0.3649
qqq,10967740,-0.0051,0.0051,0.3715,0.6285
iei,22504,0.0246,-0.0246,0.203,0.797
nflx,570553,-0.0085,0.0085,0.4432,0.5568
pbw,765,-0.023,0.023,0.5869,0.4131
ccj,484959,-0.0113,0.0113,0.6525,0.3475
xme,273460,-0.019,0.019,0.3129,0.6871
ebay,190966,-0.0113,0.0113,0.5091,0.4909
f,4809430,-0.0059,0.0059,0.4625,0.5375
ief,563842,-0.0121,0.0121,0.5722,0.4278
sono,23630,0.0072,-0.0072,0.5604,0.4396
pypl,1755328,0.005,-0.005,0.6757,0.3243
ibm,468317,0.0082,-0.0082,0.5837,0.4163
xly,358802,-0.0242,0.0242,0.4028,0.5972
xlp,308987,0.0071,-0.0071,0.427,0.573
amd,2889760,-0.0288,0.0288,0.5013,0.4987
amc,1394032,-0.0115,0.0115,0.6985,0.3015
xle,2357982,-0.009,0.009,0.393,0.607
xom,1358301,-0.0053,0.0053,0.5713,0.4287
xlb,120050,0.0133,-0.0133,0.3911,0.6089
xlk,380025,-0.0053,0.0053,0.4222,0.5778
xlre,77991,0.0178,-0.0178,0.1629,0.8371
xlv,387951,-0.0053,0.0053,0.4417,0.5583
bito,1089751,0.0102,-0.0102,0.7837,0.2163
ibb,168535,-0.0064,0.0064,0.2147,0.7853
clsk,518102,-0.0135,0.0135,0.6965,0.3035
coin,747744,0.0066,-0.0066,0.564,0.436
lqd,1185693,0.0071,-0.0071,0.4468,0.5532
asan,82250,-0.005,0.005,0.7158,0.2842
sbux,1030275,-0.0123,0.0123,0.5892,0.4108
jets,402143,-0.0278,0.0278,0.2137,0.7863
tlt,4192773,0.0065,-0.0065,0.6139,0.3861
xlc,122374,-0.0333,0.0333,0.4091,0.5909
hsbc,81633,-0.1652,0.1652,0.3499,0.6501
kr,246616,-0.0169,0.0169,0.7334,0.2666
rtx,491347,-0.0122,0.0122,0.5922,0.4078
afrm,504864,0.0075,-0.0075,0.5221,0.4779
gsl,44843,0.014,-0.014,0.7795,0.2205
wba,746474,0.012,-0.012,0.5145,0.4855
ung,335582,-0.0215,0.0215,0.6356,0.3644
ba,994222,0.0058,-0.0058,0.5189,0.4811
cmre,22929,-0.0067,0.0067,0.6036,0.3964
ge,293855,-0.006,0.006,0.6505,0.3495
xrt,258185,-0.0147,0.0147,0.2523,0.7477
intu,54204,-0.007,0.007,0.4565,0.5435
snap,1792624,-0.0073,0.0073,0.604,0.396
nvda,3639144,-0.0059,0.0059,0.5335,0.4665
ctva,83972,-0.0065,0.0065,0.4762,0.5238
corn,10292,0.0113,-0.0113,0.9079,0.0921
aa,387245,0.0076,-0.0076,0.5094,0.4906
dis,1472202,0.0089,-0.0089,0.6136,0.3864
csco,999689,-0.0068,0.0068,0.5758,0.4242
cvs,593099,0.0129,-0.0129,0.6349,0.3651
chgg,62284,0.0084,-0.0084,0.6227,0.3773
ko,667989,0.0072,-0.0072,0.5425,0.4575
icln,111060,-0.008,0.008,0.5502,0.4498
ctra,135826,-0.0133,0.0133,0.5962,0.4038
snow,489107,0.0085,-0.0085,0.5763,0.4237
fang,122977,-0.0068,0.0068,0.5507,0.4493
li,458013,0.009,-0.009,0.5905,0.4095
run,675765,0.0092,-0.0092,0.5558,0.4442
tsn,149742,0.011,-0.011,0.4334,0.5666
roku,329546,0.0054,-0.0054,0.5849,0.4151
iwm,12354493,0.0074,-0.0074,0.334,0.666
spwr,153455,0.0066,-0.0066,0.5812,0.4188
lulu,208421,-0.0076,0.0076,0.4775,0.5225
itb,78001,0.0104,-0.0104,0.397,0.603
oxy,1050924,-0.0061,0.0061,0.4469,0.5531
tbt,63269,0.0116,-0.0116,0.482,0.518
c,2781162,-0.0061,0.0061,0.5084,0.4916
gld,2915216,0.0116,-0.0116,0.5962,0.4038
lcid,1920378,-0.0161,0.0161,0.3266,0.6734
weat,46637,-0.0286,0.0286,0.8972,0.1028
abnb,434856,0.0194,-0.0194,0.4401,0.5599
v,308790,-0.0061,0.0061,0.5044,0.4956
x,1119349,0.0089,-0.0089,0.3714,0.6286
mara,1223782,-0.0095,0.0095,0.6357,0.3643
tan,121389,-0.0403,0.0403,0.578,0.422
eog,201922,-0.011,0.011,0.5015,0.4985
clx,59653,0.0169,-0.0169,0.5736,0.4264
jpm,986607,-0.0106,0.0106,0.4728,0.5272
k,61636,-0.0066,0.0066,0.6684,0.3316
tmv,31296,-0.0119,0.0119,0.6038,0.3962
sony,67626,0.0078,-0.0078,0.6408,0.3592
hood,1582138,-0.0095,0.0095,0.7007,0.2993
pho,1121,0.0104,-0.0104,0.2632,0.7368
spot,170962,-0.0091,0.0091,0.43,0.57
cag,71543,-0.0112,0.0112,0.6178,0.3822
uvxy,396781,-0.0101,0.0101,0.65,0.35
bil,2091,-0.016,0.016,0.3238,0.6762
ual,990091,-0.0085,0.0085,0.4045,0.5955
pgr,58884,-0.0068,0.0068,0.551,0.449
afl,81815,0.0368,-0.0368,0.6047,0.3953
aig,238509,0.022,-0.022,0.521,0.479
kre,2051743,0.0059,-0.0059,0.3383,0.6617
avgo,266959,-0.0153,0.0153,0.5153,0.4847
sofi,2545215,-0.006,0.006,0.6567,0.3433
mpw,1125590,-0.0055,0.0055,0.4017,0.5983
dia,489601,-0.0114,0.0114,0.4391,0.5609
arm,580873,0.0057,-0.0057,0.5464,0.4536
ttd,384866,0.0154,-0.0154,0.5108,0.4892
amat,261874,-0.0099,0.0099,0.4727,0.5273
dash,353551,0.0085,-0.0085,0.624,0.376
open,315673,0.0058,-0.0058,0.7669,0.2331
dbx,143227,-0.0073,0.0073,0.5208,0.4792
panw,547953,0.0073,-0.0073,0.5053,0.4947
tdoc,194097,0.0154,-0.0154,0.6053,0.3947
smci,304103,-0.035,0.035,0.4677,0.5323
hims,174446,0.0083,-0.0083,0.7589,0.2411
cava,115438,-0.0068,0.0068,0.5625,0.4375
expe,148184,-0.0063,0.0063,0.5629,0.4371
