stock,type,strike,exp,contractsymbol,lastprice,change,pct_chg,volume,openinterest,vol_chg,oi_chg,voi
$ARM,🟢C,$107.0,05/10/24,ARM240510C00107000,3.06,2.61,477.36,4135,3189,-823.0,143.0,1
$GLD,🟢C,$217.5,05/10/24,GLD240510C00217500,1.74,1.0699999,383.33,4748,5629,371.0,1353.0,0
$AMZN,🔴P,$187.5,05/10/24,AMZN240510P00187500,0.72,0.44000003,380.0,22409,9089,-14530.0,4401.0,2
$XLU,🟢C,$82.0,01/17/25,XLU250117C00082000,0.85,0.61,254.17,5307,15,5306.0,0.0,353
$KO,🟢C,$63.0,05/10/24,KO240510C00063000,0.3,0.22000001,233.33,1483,2526,-664.0,-136.0,0
$PLTR,🔴P,$21.0,05/10/24,PLTR240510P00021000,0.35,0.21,191.67,12260,23360,-2535.0,2.0,0
$JPM,🟢C,$197.5,05/10/24,JPM240510C00197500,1.43,0.6999999,164.81,2703,4033,-11132.0,397.0,0
$BITO,🔴P,$25.5,05/10/24,BITO240510P00025500,0.8,0.45000002,142.42,2305,2549,1981.0,-18.0,0
$COIN,🔴P,$210.0,05/10/24,COIN240510P00210000,6.93,3.9299998,142.31,1680,1821,-476.0,247.0,0
$HOOD,🔴P,$17.0,05/10/24,HOOD240510P00017000,0.37,0.110000014,117.65,2298,7108,-6764.0,2809.0,0
$TSLA,🔴P,$172.5,05/10/24,TSLA240510P00172500,3.99,2.3200002,116.85,39493,15167,-55137.0,1243.0,2
$IWM,🔴P,$206.0,05/10/24,IWM240510P00206000,2.06,1.3599999,110.2,4227,1186,3088.0,667.0,3
$MARA,🔴P,$19.5,05/10/24,MARA240510P00019500,1.75,0.95,105.88,4216,6866,-2738.0,3599.0,0
$WFC,🟢C,$61.0,05/10/24,WFC240510C00061000,0.73,0.29000002,102.78,1916,4054,-4466.0,249.0,0
