stock,type,strike,exp,contractsymbol,lastprice,change,pct_chg,volume,openinterest,vol_chg,oi_chg,voi
$SPY,🔴P,$520.0,05/10/24,SPY240510P00520000,0.59,-0.23000002,-51.64,293234,14174,242544.0,11748.0,20.0
$TSLA,🔴P,$170.0,05/10/24,TSLA240510P00170000,1.57,0.8600001,93.83,155025,30013,64394.0,-298.0,5.0
$QQQ,🔴P,$441.0,05/10/24,QQQ240510P00441000,0.51,-0.49,-60.77,102889,8780,49565.0,6255.0,11.0
$NVDA,🟢C,$900.0,05/10/24,NVDA240510C00900000,3.0,-0.76,-30.23,91876,14618,22895.0,3356.0,6.0
$SLV,🟢C,$35.0,09/20/24,SLV240920C00035000,0.34,0.00999999,9.68,50364,19777,50182.0,179.0,2.0
$GDX,🟢C,$36.0,05/17/24,GDX240517C00036000,0.47,0.0,2.17,45264,20102,42012.0,323.0,2.0
$IEF,🔴P,$90.0,07/19/24,IEF240719P00090000,0.23,0.0,0.0,45000,45002,0.0,45000.0,0.0
$AMD,🟢C,$152.5,05/10/24,AMD240510C00152500,0.4,-0.81000006,-67.74,37059,5105,10642.0,1024.0,7.0
$AAPL,🔴P,$182.5,05/10/24,AAPL240510P00182500,0.32,0.14999999,45.45,34905,16304,-7084.0,246.0,2.0
$IBM,🟢C,$135.0,06/21/24,IBM240621C00135000,35.08,0.0,0.0,34063,77,0.0,0.0,442.0
$AMZN,🟢C,$190.0,05/17/24,AMZN240517C00190000,1.21,-1.25,-60.97,32897,39861,-156.0,504.0,0.0
$LQD,🟢C,$106.0,07/19/24,LQD240719C00106000,1.91,0.0,0.0,30001,30547,0.0,29962.0,0.0
$XLF,🟢C,$42.0,05/17/24,XLF240517C00042000,0.22,0.03999999,57.14,29552,75876,29194.0,-438.0,0.0
$IWM,🔴P,$204.0,05/10/24,IWM240510P00204000,0.3,0.15,50.0,22644,6846,16061.0,1878.0,3.0
$MSFT,🟢C,$415.0,05/10/24,MSFT240510C00415000,0.29,-0.29,-56.06,22477,8608,16309.0,761.0,2.0
$CCJ,🔴P,$50.0,05/17/24,CCJ240517P00050000,0.81,0.38,52.83,22038,573,21730.0,11.0,38.0
$C,🟢C,$64.0,06/07/24,C240607C00064000,1.39,0.06999993,18.8,20798,706,20543.0,221.0,29.0
$AIG,🔴P,$115.0,06/21/24,AIG240621P00115000,36.8,0.0,0.0,19250,0,0.0,0.0,
$MARA,🔴P,$18.0,05/10/24,MARA240510P00018000,0.29,0.00999999,-3.33,18733,7689,13768.0,1230.0,2.0
$META,🟢C,$477.5,05/10/24,META240510C00477500,0.38,-1.53,-81.37,17682,2571,7919.0,626.0,6.0
$BITO,🟢C,$13.0,06/21/24,BITO240621C00013000,12.25,0.0,0.0,14910,2,0.0,0.0,7455.0
$ARM,🟢C,$110.0,05/10/24,ARM240510C00110000,0.76,0.6,245.45,14385,4650,971.0,574.0,3.0
$INTC,🔴P,$47.0,01/17/25,INTC250117P00047000,17.1,0.0,1.36,13990,9171,6760.0,-5.0,1.0
$GME,🔴P,$17.0,05/10/24,GME240510P00017000,0.32,-0.23000002,-77.14,13081,1000,12921.0,122.0,13.0
$CVS,🔴P,$82.5,09/20/24,CVS240920P00082500,27.15,0.0,2.45,12910,0,10120.0,-2000.0,
$PLTR,🔴P,$21.0,05/10/24,PLTR240510P00021000,0.35,0.21,191.67,12260,23360,-2535.0,2.0,0.0
$TLT,🔴P,$90.0,05/17/24,TLT240517P00090000,0.59,0.20999998,63.89,11921,31841,7460.0,-1782.0,0.0
$SOFI,🟢C,$8.0,07/19/24,SOFI240719C00008000,0.25,-0.03999999,-7.41,11154,18494,10084.0,174.0,0.0
$UAL,🟢C,$52.5,06/21/24,UAL240621C00052500,2.61,-0.05000019,-7.12,10778,9268,9954.0,231.0,1.0
$VXX,🟢C,$14.0,06/07/24,VXX240607C00014000,0.29,-0.04000002,-19.44,10635,325,10623.0,1.0,32.0
$XOM,🔴P,$118.0,05/10/24,XOM240510P00118000,0.28,-0.00999999,-20.0,10508,1904,8073.0,950.0,5.0
$AMC,🔴P,$3.0,05/17/24,AMC240517P00003000,0.22,0.010000005,-8.33,9899,22231,3401.0,2413.0,0.0
$DIS,🔴P,$104.0,05/17/24,DIS240517P00104000,0.4,-0.15,-27.27,9489,4491,3566.0,2210.0,2.0
$HOOD,🟢C,$18.0,05/17/24,HOOD240517C00018000,0.22,-0.27,-48.84,9066,18757,-10051.0,4976.0,0.0
$SMCI,🔴P,$800.0,05/10/24,SMCI240510P00800000,3.0,-8.03,-71.96,8571,2578,4054.0,-75.0,3.0
$DASH,🔴P,$130.0,05/17/24,DASH240517P00130000,17.15,0.0,0.0,8478,43,0.0,0.0,197.0
$XLU,🔴P,$72.0,06/21/24,XLU240621P00072000,1.56,0.01999998,-8.24,8441,77,8434.0,53.0,109.0
$F,🔴P,$12.5,05/17/24,F240517P00012500,0.54,0.13000003,14.89,7476,9894,6948.0,109.0,0.0
$SNAP,🟢C,$17.0,07/19/24,SNAP240719C00017000,0.89,-0.21000004,-14.42,7433,2981,7288.0,87.0,2.0
$DIA,🟢C,$395.0,05/17/24,DIA240517C00395000,2.53,0.19000006,23.41,6773,11462,4877.0,-1419.0,0.0
$GOOG,🔴P,$170.0,05/10/24,GOOG240510P00170000,0.65,0.36999997,54.76,6606,4220,3808.0,547.0,1.0
$UBER,🔴P,$80.0,05/17/24,UBER240517P00080000,14.8,0.0,0.0,6394,429,0.0,0.0,14.0
$WFC,🟢C,$37.5,05/17/24,WFC240517C00037500,23.8,0.0,0.0,6061,0,0.0,0.0,
$AAL,🔴P,$13.0,09/20/24,AAL240920P00013000,0.68,0.01999998,6.25,6057,49057,-2143.0,8958.0,0.0
$MU,🟢C,$120.0,05/10/24,MU240510C00120000,0.32,0.06999999,-28.89,6027,8571,720.0,1376.0,0.0
$DKNG,🟢C,$50.0,06/21/24,DKNG240621C00050000,0.47,-0.09,-14.55,5907,27699,5610.0,-78.0,0.0
$GLD,🟢C,$250.0,08/16/24,GLD240816C00250000,1.07,0.16000003,27.38,5045,967,4973.0,-7.0,5.0
$IEI,🔴P,$112.0,07/19/24,IEI240719P00112000,0.3,0.0,0.0,5000,5001,0.0,0.0,0.0
$RBLX,🟢C,$32.0,05/17/24,RBLX240517C00032000,0.7,0.33999997,75.0,4934,2096,-158.0,2026.0,2.0
$BABA,🟢C,$110.0,01/17/25,BABA250117C00110000,2.8,0.20000005,7.69,4612,24263,4596.0,12.0,0.0
$WMT,🔴P,$57.0,06/07/24,WMT240607P00057000,0.4,0.0,0.0,4593,444,4568.0,6.0,10.0
$JPM,🟢C,$200.0,05/17/24,JPM240517C00200000,1.35,0.36,53.41,4519,15162,-3499.0,-181.0,0.0
$SQ,🟢C,$73.0,05/17/24,SQ240517C00073000,0.85,-1.1,-54.05,4515,1392,4270.0,91.0,3.0
