stock,total_vol,avg_vol,call_vol_pct_chng,put_vol_pct_chng,call_vol_pct,put_vol_pct
gdx,161320,99005,0.0545,-0.0545,0.6607,0.3393
gme,261203,75647,-0.0185,0.0185,0.7345,0.2655
amzn,451387,361978,0.0775,-0.0775,0.6542,0.3458
spy,4620593,3929957,0.0006,-0.0006,0.4581,0.5419
xlf,208439,167366,0.1727,-0.1727,0.5534,0.4466
aapl,518876,503057,-0.0094,0.0094,0.6664,0.3336
pfe,81538,112006,-0.0308,0.0308,0.5196,0.4804
aal,50481,77269,0.1451,-0.1451,0.3719,0.6281
igv,10280,12151,0.0242,-0.0242,0.4342,0.5658
uber,97226,88690,0.0453,-0.0453,0.4741,0.5259
xli,90849,150272,0.0004,-0.0004,0.0768,0.9232
uup,1540,2296,-0.0387,0.0387,0.4695,0.5305
pep,14746,19925,0.011,-0.011,0.514,0.486
goog,86899,110664,0.0382,-0.0382,0.5302,0.4698
mmm,19939,18037,-0.001,0.001,0.4889,0.5111
ntr,21246,12088,0.0759,-0.0759,0.2467,0.7533
dkng,48577,56463,0.1056,-0.1056,0.5455,0.4545
mdb,15319,16131,0.013,-0.013,0.3269,0.6731
uwmc,2152,2903,-0.0809,0.0809,0.4317,0.5683
xlu,106189,39252,0.0308,-0.0308,0.2634,0.7366
ups,22314,21609,-0.0319,0.0319,0.7526,0.2474
pltr,313104,222319,-0.0127,0.0127,0.648,0.352
sq,53135,47031,0.0962,-0.0962,0.5855,0.4145
vxx,62667,40651,-0.0034,0.0034,0.7986,0.2014
wmt,75830,67283,0.0257,-0.0257,0.5756,0.4244
cvx,26698,31223,0.0023,-0.0023,0.5052,0.4948
fcel,6774,4986,0.0475,-0.0475,0.9005,0.0995
vale,20571,36422,-0.0275,0.0275,0.5649,0.4351
mo,24052,20862,-0.1171,0.1171,0.4556,0.5444
intc,208609,178148,0.0603,-0.0603,0.2737,0.7263
smh,107396,77436,-0.111,0.111,0.1993,0.8007
mu,100049,89018,-0.0162,0.0162,0.5962,0.4038
hd,24437,19845,0.0356,-0.0356,0.4916,0.5084
shy,1810,2111,-0.0119,0.0119,0.7751,0.2249
rrc,4315,3234,0.0016,-0.0016,0.5328,0.4672
enph,39216,41567,-0.0296,0.0296,0.5506,0.4494
fdn,416,440,0.0247,-0.0247,0.613,0.387
lc,1870,2075,-0.0416,0.0416,0.7775,0.2225
jks,1587,1630,-0.0639,0.0639,0.6219,0.3781
vuzi,490,659,0.0477,-0.0477,0.5265,0.4735
bkkt,2313,2041,0.0,0.0,0.7981,0.2019
bno,953,1174,-0.0094,0.0094,0.7219,0.2781
lmt,7130,9175,0.0416,-0.0416,0.5923,0.4077
wfc,63991,56715,0.0116,-0.0116,0.7798,0.2202
crwd,27003,21386,0.0104,-0.0104,0.509,0.491
mrk,12447,19673,0.0731,-0.0731,0.4117,0.5883
baba,132227,115968,0.0545,-0.0545,0.6648,0.3352
slv,346311,224353,0.0056,-0.0056,0.8347,0.1653
qcom,30877,42788,-0.0068,0.0068,0.5327,0.4673
tsla,1483576,1408222,0.0564,-0.0564,0.5418,0.4582
sol,416,412,0.0563,-0.0563,0.4231,0.5769
ardx,10543,8441,-0.0343,0.0343,0.6022,0.3978
mos,7765,9518,0.0216,-0.0216,0.456,0.544
qs,13778,11831,-0.1925,0.1925,0.4591,0.5409
msft,186935,193509,0.0381,-0.0381,0.6292,0.3708
tgt,19817,18651,-0.0166,0.0166,0.6081,0.3919
meta,286772,343917,0.0112,-0.0112,0.5555,0.4445
abbv,19278,24700,0.0197,-0.0197,0.3974,0.6026
moo,337,331,0.0034,-0.0034,0.6231,0.3769
rkt,7414,7376,-0.0995,0.0995,0.4537,0.5463
rblx,113474,38640,0.0105,-0.0105,0.6294,0.3706
qqq,1815651,1610879,-0.0028,0.0028,0.472,0.528
iei,9675,9109,0.0,0.0,0.0951,0.9049
nflx,108992,89276,-0.0037,0.0037,0.4993,0.5007
pbw,201,250,-0.0058,0.0058,0.4129,0.5871
ccj,63481,38955,-0.0264,0.0264,0.4311,0.5689
xme,10851,15585,0.0154,-0.0154,0.1505,0.8495
ebay,14252,13153,-0.0407,0.0407,0.3623,0.6377
f,144819,145428,-0.0365,0.0365,0.502,0.498
ief,117776,68754,-0.2387,0.2387,0.1485,0.8515
sono,850,1100,-0.2773,0.2773,0.3765,0.6235
pypl,60218,85891,0.1211,-0.1211,0.7192,0.2808
ibm,62214,40998,0.0003,-0.0003,0.7946,0.2054
xly,36192,37806,0.0053,-0.0053,0.258,0.742
xlp,20447,26706,-0.0193,0.0193,0.3075,0.6925
amd,462282,355420,0.0249,-0.0249,0.5836,0.4164
